;; This is a kahuna data file for the year 2043
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ы (next year will be Ꙋ)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
9	1	243	134	223	13	13
9	2	244	135	222	13	13
9	3	245	136	221	13	13
9	4	246	137	220	13	13
9	5	247	138	219	13	13
9	6	248	139	218	13	13
9	7	249	140	217	13	13
9	8	250	141	216	14	14
9	9	251	142	215	14	14
9	10	252	143	214	14	14
9	11	253	144	213	14	14
9	12	254	145	212	14	14
9	13	255	146	211	14	14
9	14	256	147	210	
9	15	257	148	209	15	15
9	16	258	149	208	15	15
9	17	259	150	207	15	15
9	18	260	151	206	15	15
9	19	261	152	205	15	15
9	20	262	153	204	15	15
9	21	263	154	203	15	15
9	22	264	155	202	16	18
9	23	265	156	201	16	18
9	24	266	157	200	16	18
9	25	267	158	199	16	18
9	26	268	159	198	16	18
9	27	269	160	197	16	18
9	28	270	161	196	16	18
9	29	271	162	195	17	19
9	30	272	163	194	17	19
10	1	273	164	193	17	19
10	2	274	165	192	17	19
10	3	275	166	191	17	19
10	4	276	167	190	17	19
10	5	277	168	189	17	19
10	6	278	169	188	18	20
10	7	279	170	187	18	20
10	8	280	171	186	18	20
10	9	281	172	185	18	20
10	10	282	173	184	18	20
10	11	283	174	183	18	20
10	12	284	175	182	18	20
10	13	285	176	181	19	21
10	14	286	177	180	19	21
10	15	287	178	179	19	21
10	16	288	179	178	19	21
10	17	289	180	177	19	21
10	18	290	181	176	19	21
10	19	291	182	175	19	21
10	20	292	183	174	20	22
10	21	293	184	173	20	22
10	22	294	185	172	20	22
10	23	295	186	171	20	22
10	24	296	187	170	20	22
10	25	297	188	169	20	22
10	26	298	189	168	20	22
10	27	299	190	167	21	23
10	28	300	191	166	21	23
10	29	301	192	165	21	23
10	30	302	193	164	21	23
10	31	303	194	163	21	23
11	1	304	195	162	21	23
11	2	305	196	161	21	23
11	3	306	197	160	22	24
11	4	307	198	159	22	24
11	5	308	199	158	22	24
11	6	309	200	157	22	24
11	7	310	201	156	22	24
11	8	311	202	155	22	24
11	9	312	203	154	22	24
11	10	313	204	153	23	25
11	11	314	205	152	23	25
11	12	315	206	151	23	25
11	13	316	207	150	23	25
11	14	317	208	149	23	25
11	15	318	209	148	23	25
11	16	319	210	147	23	25
11	17	320	211	146	24	26
11	18	321	212	145	24	26
11	19	322	213	144	24	26
11	20	323	214	143	24	26
11	21	324	215	142	24	26
11	22	325	216	141	24	26
11	23	326	217	140	24	26
11	24	327	218	139	25	27
11	25	328	219	138	25	27
11	26	329	220	137	25	27
11	27	330	221	136	25	27
11	28	331	222	135	25	27
11	29	332	223	134	25	27
11	30	333	224	133	25	27
12	1	334	225	132	26	28
12	2	335	226	131	26	28
12	3	336	227	130	26	28
12	4	337	228	129	26	28
12	5	338	229	128	26	28
12	6	339	230	127	28	28
12	7	340	231	126	26	29
12	8	341	232	125	27	29
12	9	342	233	124	27	29
12	10	343	234	123	27	29
12	11	344	235	122	27	29
12	12	345	236	121	27	29
12	13	346	237	120	27	30
12	14	347	238	119	29	28
12	15	348	239	118	28	16
12	16	349	240	117	28	16
12	17	350	241	116	28	16
12	18	351	242	115	28	16
12	19	352	243	114	28	16
12	20	353	244	113	26	29
12	21	354	245	112	
12	22	355	246	111	29	30
12	23	356	247	110	29	30
12	24	357	248	109	29	30
12	25	358	249	108	29	30
12	26	359	250	107	29	30
12	27	360	251	106	
12	28	361	252	105	27	30
12	29	362	253	104	30	31
12	30	363	254	103	30	31
12	31	364	255	102	30	31
1	1	0	256	101	30	31
1	2	1	257	100	30	31
1	3	2	258	99	29	31
1	4	3	259	98	28	31
1	5	4	260	97	31	32
1	6	5	261	96	31	32
1	7	6	262	95	31	32
1	8	7	263	94	31	32
1	9	8	264	93	31	32
1	10	9	265	92	30	16
1	11	10	266	91	30	16
1	12	11	267	90	32	33
1	13	12	268	89	32	33
1	14	13	269	88	32	33
1	15	14	270	87	32	33
1	16	15	271	86	32	33
1	17	16	272	85	31	17
1	18	17	273	84	31	17
1	19	18	274	83	33	32
1	20	19	275	82	33	32
1	21	20	276	81	33	32
1	22	21	277	80	33	32
1	23	22	278	79	33	32
1	24	23	279	78	32	32
1	25	24	280	77	32	32
1	26	25	281	76	33	33
1	27	26	282	75	33	33
1	28	27	283	74	33	33
1	29	28	284	73	33	33
1	30	29	285	72	33	33
1	31	30	286	71	33	33
