;; This is a kahuna data file for the year 2287
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ю (next year will be Ѿ)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
9	4	246	134	223	13	13
9	5	247	135	222	13	13
9	6	248	136	221	13	13
9	7	249	137	220	13	13
9	8	250	138	219	13	13
9	9	251	139	218	13	13
9	10	252	140	217	13	13
9	11	253	141	216	14	14
9	12	254	142	215	14	14
9	13	255	143	214	14	14
9	14	256	144	213	14	14
9	15	257	145	212	14	14
9	16	258	146	211	14	14
9	17	259	147	210	14	14
9	18	260	148	209	15	18
9	19	261	149	208	15	18
9	20	262	150	207	15	18
9	21	263	151	206	15	18
9	22	264	152	205	15	18
9	23	265	153	204	15	18
9	24	266	154	203	15	18
9	25	267	155	202	16	19
9	26	268	156	201	16	19
9	27	269	157	200	16	19
9	28	270	158	199	16	19
9	29	271	159	198	16	19
9	30	272	160	197	16	19
10	1	273	161	196	16	19
10	2	274	162	195	17	20
10	3	275	163	194	17	20
10	4	276	164	193	17	20
10	5	277	165	192	17	20
10	6	278	166	191	17	20
10	7	279	167	190	17	20
10	8	280	168	189	17	20
10	9	281	169	188	18	21
10	10	282	170	187	18	21
10	11	283	171	186	18	21
10	12	284	172	185	18	21
10	13	285	173	184	18	21
10	14	286	174	183	18	21
10	15	287	175	182	18	21
10	16	288	176	181	19	22
10	17	289	177	180	19	22
10	18	290	178	179	19	22
10	19	291	179	178	19	22
10	20	292	180	177	19	22
10	21	293	181	176	19	22
10	22	294	182	175	19	22
10	23	295	183	174	20	23
10	24	296	184	173	20	23
10	25	297	185	172	20	23
10	26	298	186	171	20	23
10	27	299	187	170	20	23
10	28	300	188	169	20	23
10	29	301	189	168	20	23
10	30	302	190	167	21	24
10	31	303	191	166	21	24
11	1	304	192	165	21	24
11	2	305	193	164	21	24
11	3	306	194	163	21	24
11	4	307	195	162	21	24
11	5	308	196	161	21	24
11	6	309	197	160	22	25
11	7	310	198	159	22	25
11	8	311	199	158	22	25
11	9	312	200	157	22	25
11	10	313	201	156	22	25
11	11	314	202	155	22	25
11	12	315	203	154	22	25
11	13	316	204	153	23	26
11	14	317	205	152	23	26
11	15	318	206	151	23	26
11	16	319	207	150	23	26
11	17	320	208	149	23	26
11	18	321	209	148	23	26
11	19	322	210	147	23	26
11	20	323	211	146	24	27
11	21	324	212	145	24	27
11	22	325	213	144	24	27
11	23	326	214	143	24	27
11	24	327	215	142	24	27
11	25	328	216	141	24	27
11	26	329	217	140	24	27
11	27	330	218	139	25	28
11	28	331	219	138	25	28
11	29	332	220	137	25	28
11	30	333	221	136	25	28
12	1	334	222	135	25	28
12	2	335	223	134	25	28
12	3	336	224	133	25	30
12	4	337	225	132	26	29
12	5	338	226	131	26	29
12	6	339	227	130	26	29
12	7	340	228	129	26	29
12	8	341	229	128	26	29
12	9	342	230	127	28	31
12	10	343	231	126	26	29
12	11	344	232	125	27	15
12	12	345	233	124	27	15
12	13	346	234	123	27	15
12	14	347	235	122	27	15
12	15	348	236	121	27	15
12	16	349	237	120	27	30
12	17	350	238	119	29	28
12	18	351	239	118	28	16
12	19	352	240	117	28	16
12	20	353	241	116	28	16
12	21	354	242	115	28	16
12	22	355	243	114	28	16
12	23	356	244	113	26	29
12	24	357	245	112	
12	25	358	246	111	29	30
12	26	359	247	110	29	30
12	27	360	248	109	29	30
12	28	361	249	108	29	30
12	29	362	250	107	29	30
12	30	363	251	106	29	15
12	31	364	252	105	27	31
1	1	0	253	104	30	31
1	2	1	254	103	30	31
1	3	2	255	102	30	31
1	4	3	256	101	30	31
1	5	4	257	100	30	31
1	6	5	258	99	
1	7	6	259	98	28	15
1	8	7	260	97	31	32
1	9	8	261	96	31	32
1	10	9	262	95	31	32
1	11	10	263	94	31	32
1	12	11	264	93	31	32
1	13	12	265	92	30	16
1	14	13	266	91	30	16
1	15	14	267	90	32	33
1	16	15	268	89	32	33
1	17	16	269	88	32	33
1	18	17	270	87	32	33
1	19	18	271	86	32	33
1	20	19	272	85	31	17
1	21	20	273	84	31	17
1	22	21	274	83	33	32
1	23	22	275	82	33	32
1	24	23	276	81	33	32
1	25	24	277	80	33	32
1	26	25	278	79	33	32
1	27	26	279	78	32	32
1	28	27	280	77	32	32
1	29	28	281	76	33	33
1	30	29	282	75	33	33
1	31	30	283	74	33	33
2	1	31	284	73	33	33
2	2	32	285	72	33	33
2	3	33	286	71	33	33
