;; This is a kahuna data file for the year 2054
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ы (next year will be Н)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
9	1	243	134	216	13	13
9	2	244	135	215	13	13
9	3	245	136	214	13	13
9	4	246	137	213	13	13
9	5	247	138	212	13	13
9	6	248	139	211	13	13
9	7	249	140	210	13	13
9	8	250	141	209	14	14
9	9	251	142	208	14	14
9	10	252	143	207	14	14
9	11	253	144	206	14	14
9	12	254	145	205	14	14
9	13	255	146	204	14	14
9	14	256	147	203	
9	15	257	148	202	15	15
9	16	258	149	201	15	15
9	17	259	150	200	15	15
9	18	260	151	199	15	15
9	19	261	152	198	15	15
9	20	262	153	197	15	15
9	21	263	154	196	15	15
9	22	264	155	195	16	18
9	23	265	156	194	16	18
9	24	266	157	193	16	18
9	25	267	158	192	16	18
9	26	268	159	191	16	18
9	27	269	160	190	16	18
9	28	270	161	189	16	18
9	29	271	162	188	17	19
9	30	272	163	187	17	19
10	1	273	164	186	17	19
10	2	274	165	185	17	19
10	3	275	166	184	17	19
10	4	276	167	183	17	19
10	5	277	168	182	17	19
10	6	278	169	181	18	20
10	7	279	170	180	18	20
10	8	280	171	179	18	20
10	9	281	172	178	18	20
10	10	282	173	177	18	20
10	11	283	174	176	18	20
10	12	284	175	175	18	20
10	13	285	176	174	19	21
10	14	286	177	173	19	21
10	15	287	178	172	19	21
10	16	288	179	171	19	21
10	17	289	180	170	19	21
10	18	290	181	169	19	21
10	19	291	182	168	19	21
10	20	292	183	167	20	22
10	21	293	184	166	20	22
10	22	294	185	165	20	22
10	23	295	186	164	20	22
10	24	296	187	163	20	22
10	25	297	188	162	20	22
10	26	298	189	161	20	22
10	27	299	190	160	21	23
10	28	300	191	159	21	23
10	29	301	192	158	21	23
10	30	302	193	157	21	23
10	31	303	194	156	21	23
11	1	304	195	155	21	23
11	2	305	196	154	21	23
11	3	306	197	153	22	24
11	4	307	198	152	22	24
11	5	308	199	151	22	24
11	6	309	200	150	22	24
11	7	310	201	149	22	24
11	8	311	202	148	22	24
11	9	312	203	147	22	24
11	10	313	204	146	23	25
11	11	314	205	145	23	25
11	12	315	206	144	23	25
11	13	316	207	143	23	25
11	14	317	208	142	23	25
11	15	318	209	141	23	25
11	16	319	210	140	23	25
11	17	320	211	139	24	26
11	18	321	212	138	24	26
11	19	322	213	137	24	26
11	20	323	214	136	24	26
11	21	324	215	135	24	26
11	22	325	216	134	24	26
11	23	326	217	133	24	26
11	24	327	218	132	25	27
11	25	328	219	131	25	27
11	26	329	220	130	25	27
11	27	330	221	129	25	27
11	28	331	222	128	25	27
11	29	332	223	127	25	27
11	30	333	224	126	25	27
12	1	334	225	125	26	28
12	2	335	226	124	26	28
12	3	336	227	123	26	28
12	4	337	228	122	26	28
12	5	338	229	121	26	28
12	6	339	230	120	28	28
12	7	340	231	119	26	29
12	8	341	232	118	27	29
12	9	342	233	117	27	29
12	10	343	234	116	27	29
12	11	344	235	115	27	29
12	12	345	236	114	27	29
12	13	346	237	113	27	30
12	14	347	238	112	29	28
12	15	348	239	111	28	16
12	16	349	240	110	28	16
12	17	350	241	109	28	16
12	18	351	242	108	28	16
12	19	352	243	107	28	16
12	20	353	244	106	26	29
12	21	354	245	105	
12	22	355	246	104	29	30
12	23	356	247	103	29	30
12	24	357	248	102	29	30
12	25	358	249	101	29	30
12	26	359	250	100	29	30
12	27	360	251	99	29	31
12	28	361	252	98	27	30
12	29	362	253	97	30	31
12	30	363	254	96	30	31
12	31	364	255	95	30	31
1	1	0	256	94	30	31
1	2	1	257	93	30	31
1	3	2	258	92	30	16
1	4	3	259	91	30	31
1	5	4	260	90	31	32
1	6	5	261	89	31	32
1	7	6	262	88	31	32
1	8	7	263	87	31	32
1	9	8	264	86	31	32
1	10	9	265	85	31	17
1	11	10	266	84	31	17
1	12	11	267	83	32	33
1	13	12	268	82	32	33
1	14	13	269	81	32	33
1	15	14	270	80	32	33
1	16	15	271	79	32	33
1	17	16	272	78	32	32
1	18	17	273	77	32	32
1	19	18	274	76	33	33
1	20	19	275	75	33	33
1	21	20	276	74	33	33
1	22	21	277	73	33	33
1	23	22	278	72	33	33
1	24	23	279	71	33	33
