;; This is a kahuna data file for the year 2094
;; Comments are indicated by the two semicolons
;; The key of boundaries is Ѕ (next year will be Ꙋ)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	10	221	134	244	13	13
8	11	222	135	243	13	13
8	12	223	136	242	13	13
8	13	224	137	241	13	13
8	14	225	138	240	13	13
8	15	226	139	239	13	13
8	16	227	140	238	13	13
8	17	228	141	237	14	14
8	18	229	142	236	14	14
8	19	230	143	235	14	14
8	20	231	144	234	14	14
8	21	232	145	233	14	14
8	22	233	146	232	14	14
8	23	234	147	231	14	14
8	24	235	148	230	15	15
8	25	236	149	229	15	15
8	26	237	150	228	15	15
8	27	238	151	227	15	15
8	28	239	152	226	15	15
8	29	240	153	225	15	15
8	30	241	154	224	15	15
8	31	242	155	223	16	16
9	1	243	156	222	16	16
9	2	244	157	221	16	16
9	3	245	158	220	16	16
9	4	246	159	219	16	16
9	5	247	160	218	16	16
9	6	248	161	217	16	16
9	7	249	162	216	17	31
9	8	250	163	215	17	31
9	9	251	164	214	17	31
9	10	252	165	213	17	31
9	11	253	166	212	17	31
9	12	254	167	211	17	17
9	13	255	168	210	17	17
9	14	256	169	209	18	17
9	15	257	170	208	18	17
9	16	258	171	207	18	17
9	17	259	172	206	18	17
9	18	260	173	205	18	17
9	19	261	174	204	
9	20	262	175	203	
9	21	263	176	202	19	18
9	22	264	177	201	19	18
9	23	265	178	200	19	18
9	24	266	179	199	19	18
9	25	267	180	198	19	18
9	26	268	181	197	19	18
9	27	269	182	196	19	18
9	28	270	183	195	20	19
9	29	271	184	194	20	19
9	30	272	185	193	20	19
10	1	273	186	192	20	19
10	2	274	187	191	20	19
10	3	275	188	190	20	19
10	4	276	189	189	20	19
10	5	277	190	188	21	20
10	6	278	191	187	21	20
10	7	279	192	186	21	20
10	8	280	193	185	21	20
10	9	281	194	184	21	20
10	10	282	195	183	21	20
10	11	283	196	182	21	20
10	12	284	197	181	22	21
10	13	285	198	180	22	21
10	14	286	199	179	22	21
10	15	287	200	178	22	21
10	16	288	201	177	22	21
10	17	289	202	176	22	21
10	18	290	203	175	22	21
10	19	291	204	174	23	22
10	20	292	205	173	23	22
10	21	293	206	172	23	22
10	22	294	207	171	23	22
10	23	295	208	170	23	22
10	24	296	209	169	23	22
10	25	297	210	168	23	22
10	26	298	211	167	24	23
10	27	299	212	166	24	23
10	28	300	213	165	24	23
10	29	301	214	164	24	23
10	30	302	215	163	24	23
10	31	303	216	162	24	23
11	1	304	217	161	24	23
11	2	305	218	160	25	24
11	3	306	219	159	25	24
11	4	307	220	158	25	24
11	5	308	221	157	25	24
11	6	309	222	156	25	24
11	7	310	223	155	25	24
11	8	311	224	154	25	24
11	9	312	225	153	26	25
11	10	313	226	152	26	25
11	11	314	227	151	26	25
11	12	315	228	150	26	25
11	13	316	229	149	26	25
11	14	317	230	148	31	25
11	15	318	231	147	26	25
11	16	319	232	146	27	26
11	17	320	233	145	27	26
11	18	321	234	144	27	26
11	19	322	235	143	27	26
11	20	323	236	142	27	26
11	21	324	237	141	27	26
11	22	325	238	140	27	26
11	23	326	239	139	28	27
11	24	327	240	138	28	27
11	25	328	241	137	28	27
11	26	329	242	136	28	27
11	27	330	243	135	28	27
11	28	331	244	134	28	27
11	29	332	245	133	28	27
11	30	333	246	132	29	28
12	1	334	247	131	29	28
12	2	335	248	130	29	28
12	3	336	249	129	29	28
12	4	337	250	128	29	28
12	5	338	251	127	29	28
12	6	339	252	126	30	29
12	7	340	253	125	30	29
12	8	341	254	124	30	29
12	9	342	255	123	30	29
12	10	343	256	122	30	29
12	11	344	257	121	30	29
12	12	345	258	120	30	30
12	13	346	259	119	29	28
12	14	347	260	118	31	30
12	15	348	261	117	31	30
12	16	349	262	116	31	30
12	17	350	263	115	31	30
12	18	351	264	114	31	30
12	19	352	265	113	26	29
12	20	353	266	112	
12	21	354	267	111	32	31
12	22	355	268	110	32	31
12	23	356	269	109	32	31
12	24	357	270	108	32	31
12	25	358	271	107	32	31
12	26	359	272	106	
12	27	360	273	105	
12	28	361	274	104	33	32
12	29	362	275	103	33	32
12	30	363	276	102	33	32
12	31	364	277	101	33	32
1	1	0	278	100	33	32
1	2	1	279	99	
1	3	2	280	98	
1	4	3	281	97	30	33
1	5	4	282	96	30	33
1	6	5	283	95	30	33
1	7	6	284	94	30	33
1	8	7	285	93	30	33
1	9	8	286	92	
1	10	9	287	91	31	30
1	11	10	288	90	31	31
1	12	11	289	89	31	31
1	13	12	290	88	31	31
1	14	13	291	87	31	31
1	15	14	292	86	31	31
1	16	15	293	85	18	31
1	17	16	294	84	18	31
1	18	17	295	83	32	32
1	19	18	296	82	32	32
1	20	19	297	81	32	32
1	21	20	298	80	32	32
1	22	21	299	79	32	32
1	23	22	300	78	32	32
1	24	23	301	77	32	32
1	25	24	302	76	33	33
1	26	25	303	75	33	33
1	27	26	304	74	33	33
1	28	27	305	73	33	33
1	29	28	306	72	33	33
1	30	29	307	71	33	33
