;; This is a kahuna data file for the year 2064
;; Comments are indicated by the two semicolons
;; The key of boundaries is И (next year will be Х)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	12	223	134	244	13	13
8	13	224	135	243	13	13
8	14	225	136	242	13	13
8	15	226	137	241	13	13
8	16	227	138	240	13	13
8	17	228	139	239	13	13
8	18	229	140	238	13	13
8	19	230	141	237	14	14
8	20	231	142	236	14	14
8	21	232	143	235	14	14
8	22	233	144	234	14	14
8	23	234	145	233	14	14
8	24	235	146	232	14	14
8	25	236	147	231	14	14
8	26	237	148	230	15	15
8	27	238	149	229	15	15
8	28	239	150	228	15	15
8	29	240	151	227	15	15
8	30	241	152	226	15	15
8	31	242	153	225	15	15
9	1	243	154	224	15	15
9	2	244	155	223	16	16
9	3	245	156	222	16	16
9	4	246	157	221	16	16
9	5	247	158	220	16	16
9	6	248	159	219	16	16
9	7	249	160	218	16	16
9	8	250	161	217	16	16
9	9	251	162	216	17	17
9	10	252	163	215	17	17
9	11	253	164	214	17	17
9	12	254	165	213	17	17
9	13	255	166	212	17	17
9	14	256	167	211	
9	15	257	168	210	17	17
9	16	258	169	209	18	18
9	17	259	170	208	18	18
9	18	260	171	207	18	18
9	19	261	172	206	18	18
9	20	262	173	205	18	18
9	21	263	174	204	18	18
9	22	264	175	203	18	18
9	23	265	176	202	19	19
9	24	266	177	201	19	19
9	25	267	178	200	19	19
9	26	268	179	199	19	19
9	27	269	180	198	19	19
9	28	270	181	197	19	19
9	29	271	182	196	19	19
9	30	272	183	195	20	20
10	1	273	184	194	20	20
10	2	274	185	193	20	20
10	3	275	186	192	20	20
10	4	276	187	191	20	20
10	5	277	188	190	20	20
10	6	278	189	189	20	20
10	7	279	190	188	21	21
10	8	280	191	187	21	21
10	9	281	192	186	21	21
10	10	282	193	185	21	21
10	11	283	194	184	21	21
10	12	284	195	183	21	21
10	13	285	196	182	21	21
10	14	286	197	181	22	22
10	15	287	198	180	22	22
10	16	288	199	179	22	22
10	17	289	200	178	22	22
10	18	290	201	177	22	22
10	19	291	202	176	22	22
10	20	292	203	175	22	22
10	21	293	204	174	23	23
10	22	294	205	173	23	23
10	23	295	206	172	23	23
10	24	296	207	171	23	23
10	25	297	208	170	23	23
10	26	298	209	169	23	23
10	27	299	210	168	23	23
10	28	300	211	167	24	24
10	29	301	212	166	24	24
10	30	302	213	165	24	24
10	31	303	214	164	24	24
11	1	304	215	163	24	24
11	2	305	216	162	24	24
11	3	306	217	161	24	24
11	4	307	218	160	25	25
11	5	308	219	159	25	25
11	6	309	220	158	25	25
11	7	310	221	157	25	25
11	8	311	222	156	25	25
11	9	312	223	155	25	25
11	10	313	224	154	25	25
11	11	314	225	153	26	26
11	12	315	226	152	26	26
11	13	316	227	151	26	26
11	14	317	228	150	26	26
11	15	318	229	149	26	26
11	16	319	230	148	31	26
11	17	320	231	147	26	26
11	18	321	232	146	27	27
11	19	322	233	145	27	27
11	20	323	234	144	27	27
11	21	324	235	143	27	27
11	22	325	236	142	27	27
11	23	326	237	141	27	27
11	24	327	238	140	27	27
11	25	328	239	139	28	28
11	26	329	240	138	28	28
11	27	330	241	137	28	28
11	28	331	242	136	28	28
11	29	332	243	135	28	28
11	30	333	244	134	28	28
12	1	334	245	133	28	30
12	2	335	246	132	29	29
12	3	336	247	131	29	29
12	4	337	248	130	29	29
12	5	338	249	129	29	29
12	6	339	250	128	29	29
12	7	340	251	127	29	31
12	8	341	252	126	30	29
12	9	342	253	125	30	30
12	10	343	254	124	30	30
12	11	344	255	123	30	30
12	12	345	256	122	30	30
12	13	346	257	121	30	30
12	14	347	258	120	30	30
12	15	348	259	119	29	28
12	16	349	260	118	31	31
12	17	350	261	117	31	31
12	18	351	262	116	31	31
12	19	352	263	115	31	31
12	20	353	264	114	31	31
12	21	354	265	113	26	29
12	22	355	266	112	
12	23	356	267	111	32	32
12	24	357	268	110	32	32
12	25	358	269	109	32	32
12	26	359	270	108	32	32
12	27	360	271	107	32	32
12	28	361	272	106	
12	29	362	273	105	
12	30	363	274	104	33	33
12	31	364	275	103	33	33
1	1	0	276	102	33	33
1	2	1	277	101	33	33
1	3	2	278	100	33	33
1	4	3	279	99	
1	5	4	280	98	
1	6	5	281	97	30	30
1	7	6	282	96	30	30
1	8	7	283	95	30	30
1	9	8	284	94	30	30
1	10	9	285	93	30	30
1	11	10	286	92	
1	12	11	287	91	
1	13	12	288	90	31	31
1	14	13	289	89	31	31
1	15	14	290	88	31	31
1	16	15	291	87	31	31
1	17	16	292	86	31	31
1	18	17	293	85	17	17
1	19	18	294	84	31	31
1	20	19	295	83	32	32
1	21	20	296	82	32	32
1	22	21	297	81	32	32
1	23	22	298	80	32	32
1	24	23	299	79	32	32
1	25	24	300	78	32	32
1	26	25	301	77	32	32
1	27	26	302	76	33	33
1	28	27	303	75	33	33
1	29	28	304	74	33	33
1	30	29	305	73	33	33
1	31	30	306	72	33	33
2	1	31	307	71	33	33
