;; This is a kahuna data file for the year 2155
;; Comments are indicated by the two semicolons
;; The key of boundaries is Х (next year will be Ж)
;; The columns below are:
;; month	day	doy	nday	ndayF	apostol	gospel
;; The first two columns are useless for the kahuna; they are only for debugging
;; Since you have to be a kahuna youself to use these data, there is no documentation
8	25	236	134	216	13	13
8	26	237	135	215	13	13
8	27	238	136	214	13	13
8	28	239	137	213	13	13
8	29	240	138	212	13	13
8	30	241	139	211	13	13
8	31	242	140	210	13	13
9	1	243	141	209	14	14
9	2	244	142	208	14	14
9	3	245	143	207	14	14
9	4	246	144	206	14	14
9	5	247	145	205	14	14
9	6	248	146	204	14	14
9	7	249	147	203	14	14
9	8	250	148	202	15	15
9	9	251	149	201	15	15
9	10	252	150	200	15	15
9	11	253	151	199	15	15
9	12	254	152	198	15	15
9	13	255	153	197	15	15
9	14	256	154	196	
9	15	257	155	195	16	16
9	16	258	156	194	16	16
9	17	259	157	193	16	16
9	18	260	158	192	16	16
9	19	261	159	191	16	16
9	20	262	160	190	16	16
9	21	263	161	189	16	16
9	22	264	162	188	17	18
9	23	265	163	187	17	18
9	24	266	164	186	17	18
9	25	267	165	185	17	18
9	26	268	166	184	17	18
9	27	269	167	183	17	18
9	28	270	168	182	17	18
9	29	271	169	181	18	19
9	30	272	170	180	18	19
10	1	273	171	179	18	19
10	2	274	172	178	18	19
10	3	275	173	177	18	19
10	4	276	174	176	18	19
10	5	277	175	175	18	19
10	6	278	176	174	19	20
10	7	279	177	173	19	20
10	8	280	178	172	19	20
10	9	281	179	171	19	20
10	10	282	180	170	19	20
10	11	283	181	169	19	20
10	12	284	182	168	19	20
10	13	285	183	167	20	21
10	14	286	184	166	20	21
10	15	287	185	165	20	21
10	16	288	186	164	20	21
10	17	289	187	163	20	21
10	18	290	188	162	20	21
10	19	291	189	161	20	21
10	20	292	190	160	21	22
10	21	293	191	159	21	22
10	22	294	192	158	21	22
10	23	295	193	157	21	22
10	24	296	194	156	21	22
10	25	297	195	155	21	22
10	26	298	196	154	21	22
10	27	299	197	153	22	23
10	28	300	198	152	22	23
10	29	301	199	151	22	23
10	30	302	200	150	22	23
10	31	303	201	149	22	23
11	1	304	202	148	22	23
11	2	305	203	147	22	23
11	3	306	204	146	23	24
11	4	307	205	145	23	24
11	5	308	206	144	23	24
11	6	309	207	143	23	24
11	7	310	208	142	23	24
11	8	311	209	141	23	24
11	9	312	210	140	23	24
11	10	313	211	139	24	25
11	11	314	212	138	24	25
11	12	315	213	137	24	25
11	13	316	214	136	24	25
11	14	317	215	135	24	25
11	15	318	216	134	24	25
11	16	319	217	133	24	25
11	17	320	218	132	25	26
11	18	321	219	131	25	26
11	19	322	220	130	25	26
11	20	323	221	129	25	26
11	21	324	222	128	25	26
11	22	325	223	127	25	26
11	23	326	224	126	25	26
11	24	327	225	125	26	27
11	25	328	226	124	26	27
11	26	329	227	123	26	27
11	27	330	228	122	26	27
11	28	331	229	121	26	27
11	29	332	230	120	29	27
11	30	333	231	119	26	27
12	1	334	232	118	27	28
12	2	335	233	117	27	28
12	3	336	234	116	27	28
12	4	337	235	115	27	28
12	5	338	236	114	27	28
12	6	339	237	113	27	28
12	7	340	238	112	27	29
12	8	341	239	111	28	29
12	9	342	240	110	28	29
12	10	343	241	109	28	29
12	11	344	242	108	28	29
12	12	345	243	107	28	29
12	13	346	244	106	28	30
12	14	347	245	105	29	28
12	15	348	246	104	29	30
12	16	349	247	103	29	30
12	17	350	248	102	29	30
12	18	351	249	101	29	30
12	19	352	250	100	29	30
12	20	353	251	99	26	29
12	21	354	252	98	
12	22	355	253	97	30	31
12	23	356	254	96	30	31
12	24	357	255	95	30	31
12	25	358	256	94	30	31
12	26	359	257	93	30	31
12	27	360	258	92	30	31
12	28	361	259	91	30	30
12	29	362	260	90	31	32
12	30	363	261	89	31	32
12	31	364	262	88	31	32
1	1	0	263	87	31	32
1	2	1	264	86	31	32
1	3	2	265	85	31	17
1	4	3	266	84	31	31
1	5	4	267	83	32	33
1	6	5	268	82	32	33
1	7	6	269	81	32	33
1	8	7	270	80	32	33
1	9	8	271	79	32	33
1	10	9	272	78	32	32
1	11	10	273	77	32	32
1	12	11	274	76	33	33
1	13	12	275	75	33	33
1	14	13	276	74	33	33
1	15	14	277	73	33	33
1	16	15	278	72	33	33
1	17	16	279	71	33	33
